"DTXSID20290784;2,2,3,3,3-Pentafluoro-1-methylsulfanyl-propan-1-imine;664-09-5;UOYYWDFLZROXTG-UHFFFAOYSA-N;C4H4F5NS;CSC(=N)C(F)(F)C(F)(F)F;[M-H]-",191.9911861
"DTXSID20536932;3-Chloro-3,4,4,4-tetrafluoro-2-methylbutan-2-ol;94083-43-9;FWHBVSZFVZWHTI-UHFFFAOYSA-N;C5H7ClF4O;CC(C)(O)C(F)(Cl)C(F)(F)F;[M-H]-",193.0048802
"DTXSID50456573;4,4,5,5,5-Pentafluoropentane-1-thiol;148757-88-4;OZRFWLLFSGXBOH-UHFFFAOYSA-N;C5H7F5S;FC(F)(F)C(F)(F)CCCS;[M-H]-",193.0115872
DTXSID00202300;Phenyltetrafluoroethyl ether;53998-02-0;CJOMMKCFZVBNDK-UHFFFAOYSA-N;C8H6F4O;OC1=CC=CC(=C1)C(F)(F)C(F)F;[M-H]-,193.0282025
"DTXSID40566155;2-(2,2,3,3,3-Pentafluoropropoxy)ethan-1-ol;757-08-4;VRJGSXYVIXIRQJ-UHFFFAOYSA-N;C5H7F5O2;OCCOCC(F)(F)C(F)(F)F;[M-H]-",193.0293453
"DTXSID50557857;4,4,5,5,5-Pentafluoropentane-1,3-diol;121591-51-3;GSTOYUHRSSWEIF-UHFFFAOYSA-N;C5H7F5O2;OCCC(O)C(F)(F)C(F)(F)F;[M-H]-",193.0293453
"DTXSID50883365;1-Propanol, 1-ethoxy-2,2,3,3,3-pentafluoro-;337-28-0;CPCMQYHVJRQUGX-UHFFFAOYSA-N;C5H7F5O2;CCOC(O)C(F)(F)C(F)(F)F;[M-H]-",193.0293453
"DTXSID90435625;4,4,4-Trifluoro-3-(trifluoromethyl)-1-butanamine;954238-58-5;JLTQPWIPCCFXIX-UHFFFAOYSA-N;C5H7F6N;NCCC(C(F)(F)F)C(F)(F)F;[M-H]-",194.0409932
DTXSID10327679;2H-Perfluoroisobutyric acid;564-10-3;RAEAYTICAPHWJW-UHFFFAOYSA-N;C4H2F6O2;OC(=O)C(C(F)(F)F)C(F)(F)F;[M-H]-,194.9886233
"DTXSID10597158;2,3,3,4,4,4-Hexafluorobutanoic acid;62765-25-7;YOCXVTUVGZFVTK-UHFFFAOYSA-N;C4H2F6O2;OC(=O)C(F)C(F)(F)C(F)(F)F;[M-H]-",194.9886233
DTXSID50892417;4H-Perfluorobutanoic acid;679-12-9;ACPUHIQZFSBBGQ-UHFFFAOYSA-N;C4H2F6O2;OC(=O)C(F)(F)C(F)(F)C(F)F;[M-H]-,194.9886233
DTXSID90626970;3H-Perfluorobutanoic acid;379-90-8;AZLUIEGTKBIKSG-UHFFFAOYSA-N;C4H2F6O2;OC(=O)C(F)(F)C(F)C(F)(F)F;[M-H]-,194.9886233
DTXSID50379334;1-(2H-Perfluoropropyl)ethanol;2711-81-1;BBNMWXDGNGRANP-UHFFFAOYSA-N;C5H6F6O;CC(O)C(F)(F)C(F)C(F)(F)F;[M-H]-,195.0250088
"DTXSID80371189;2,2-Bis(trifluoromethyl)propanol;2927-17-5;PDVIQMXPNJDUGQ-UHFFFAOYSA-N;C5H6F6O;CC(CO)(C(F)(F)F)C(F)(F)F;[M-H]-",195.0250088
"DTXSID50571255;5-Ethyl-3-(1,1,2,2-tetrafluoroethyl)-1H-pyrazole;188838-49-5;HFJIQZDAPQQXMH-UHFFFAOYSA-N;C7H8F4N2;CCC1=CC(=NN1)C(F)(F)C(F)F;[M-H]-",195.0550859
"DTXSID20473111;3,3,3-Trifluoro-2-(trifluoromethyl)-1,2-propanediol;143471-08-3;NXCPNMMVLIOWCK-UHFFFAOYSA-N;C4H4F6O2;OCC(O)(C(F)(F)F)C(F)(F)F;[M-H]-",197.0042733
"DTXSID50216376;1,1,1,3,3,3-Hexafluoro-2-methoxy-2-propanol;662-16-8;FEKJGFZZVNCSRO-UHFFFAOYSA-N;C4H4F6O2;COC(O)(C(F)(F)F)C(F)(F)F;[M-H]-",197.0042733
"DTXSID80460183;Ethanesulfonamide, 1,1,2,2,2-pentafluoro-;78491-70-0;QDUKVMNUAQTMQW-UHFFFAOYSA-N;C2H2F5NO2S;NS(=O)(=O)C(F)(F)C(F)(F)F;[M-H]-",197.9653653
"DTXSID10190840;1H,1H-Heptafluorobutylamine;374-99-2;WBGBQSRNXPVFDB-UHFFFAOYSA-N;C4H4F7N;NCC(F)(F)C(F)(F)C(F)(F)F;[M-H]-",198.0159213
"DTXSID10896294;2,3,3,3-Tetrafluoro-2-(trifluoromethyl)propan-1-amine;182243-54-5;WRAHZJQESWMXQC-UHFFFAOYSA-N;C4H4F7N;NCC(F)(C(F)(F)F)C(F)(F)F;[M-H]-",198.0159213
"DTXSID60758111;1,1,2,2-Tetrafluoro-5-(methylamino)hex-4-en-3-one;92676-68-1;XWHAZVHGDGAGJE-UHFFFAOYSA-N;C7H9F4NO;CN=C(C)CC(=O)C(F)(F)C(F)F;[M-H]-",198.0547516
DTXSID30870511;Perfluoroethanesulfonic acid;354-88-1;GKNWQHIXXANPTN-UHFFFAOYSA-N;C2HF5O3S;OS(=O)(=O)C(F)(F)C(F)(F)F;[M-H]-,198.9493809
"DTXSID50508304;1,1,2,2-Tetrafluoro-2-hydroxyethane-1-sulfonyl fluoride;733736-25-9;NMTYPHAXUVFBBP-UHFFFAOYSA-N;C2HF5O3S;OC(F)(F)C(F)(F)S(F)(=O)=O;[M-H]-",198.9493809
DTXSID60382879;Pentafluoroethylphosphonic acid;103305-01-7;XLWUDBRTNPGWDQ-UHFFFAOYSA-N;C2H2F5O3P;OP(O)(=O)C(F)(F)C(F)(F)F;[M-H]-,198.9588967
"DTXSID20503083;1,1,1,3,3,3-Hexafluoro-2-hydroperoxypropan-2-ol;32751-01-2;HIQGIIMAEPEBRI-UHFFFAOYSA-N;C3H2F6O3;OOC(O)(C(F)(F)F)C(F)(F)F;[M-H]-",198.9835379
"DTXSID4059914;1H,1H-Heptafluorobutanol;375-01-9;WXJFKAZDSQLPBX-UHFFFAOYSA-N;C4H3F7O;OCC(F)(F)C(F)(F)C(F)(F)F;[M-H]-",198.9999369
"DTXSID60337369;4-Thiazolol, 2-(1,2,2,2-tetrafluoroethyl)-;494745-13-0;OEWVJYHHPDJTPH-UHFFFAOYSA-N;C5H3F4NOS;OC1=CSC(=N1)C(F)C(F)(F)F;[M-H]-",199.9798725
"DTXSID00753084;3-Chloro-1,1,2,2,3,3-hexafluoropropan-1-ol;89308-01-0;HLXLYZKGRDKUOB-UHFFFAOYSA-N;C3HClF6O;OC(F)(F)C(F)(F)C(F)(F)Cl;[M-H]-",200.9547363
"DTXSID00336710;2-Amino-5-fluoro-5-(trifluoromethyl)-1,3-thiazol-4(5H)-one;13973-15-4;HZDNXMIRSSYJFL-UHFFFAOYSA-N;C4H2F4N2OS;NC1=NC(=O)C(F)(S1)C(F)(F)F;[M-H]-",200.9751215
"DTXSID00757522;5,5,6,6-Tetrafluoro-4-sulfanylhex-3-en-2-one;91888-59-4;WLTIMVGMHGDEFK-UHFFFAOYSA-N;C6H6F4OS;CC(=O)C=C(S)C(F)(F)C(F)F;[M-H]-",201.0002736
"DTXSID50766664;5,6,6,6-Tetrafluoro-4-sulfanylhex-3-en-2-one;116509-66-1;REXADHOSDIXWOB-UHFFFAOYSA-N;C6H6F4OS;CC(=O)C=C(S)C(F)C(F)(F)F;[M-H]-",201.0002736
