CSV File,Columns containing all necessary fragments for ID,Columns containing fragments where atleast one fragment must be observed for confirmation,Run DDA,Run AIF (Ignore this column if you don't have AIF data),By Class only - total C:DB,Polarity,Adduct,Notes
FragScreen11606.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen11989.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen12662.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen12667.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen12979.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen13344.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen13664.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen13844.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen14003.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen14010.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen14528.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen14669.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen14672.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen14685.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen14992.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen15312.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen15622.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen15938.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen15946.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen16257.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen16573.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen16574.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen16710.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen16867.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen16879.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen17171.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen17185.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen17194.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen17213.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen17354.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen17486.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen17661.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen17792.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen17794.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen17942.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen18083.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen18093.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen18515.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen18665.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen18671.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen18677.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen18684.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen19252.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen19256.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen19258.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen19393.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen19531.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen19842.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen20395.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen20558.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen20649.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen20949.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen21212.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen21360.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen21491.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen21496.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen21528.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
