Feature,RT,Intensity,mz,File,Zoom
1,5.71,829929,209.08546,AFFF3_Target_Neg.mzXML,1
1,5.73,2445748,209.08602,AFFF3_Target_Neg.mzXML,1
1,5.74,3683162,209.08656,AFFF3_Target_Neg.mzXML,1
1,5.76,3984108,209.08674,AFFF3_Target_Neg.mzXML,1
1,5.8,3804439,209.08591,AFFF3_Target_Neg.mzXML,1
1,5.81,3278591,209.08626,AFFF3_Target_Neg.mzXML,1
1,5.82,2606608,209.08656,AFFF3_Target_Neg.mzXML,1
1,5.83,1742211,209.08504,AFFF3_Target_Neg.mzXML,1
1,5.85,998181,209.08471,AFFF3_Target_Neg.mzXML,1
1,5.86,460612,209.08564,AFFF3_Target_Neg.mzXML,1
1,5.88,199824,209.08513,AFFF3_Target_Neg.mzXML,1
1,5.89,89148,209.08564,AFFF3_Target_Neg.mzXML,1
1,5.91,50373,209.08515,AFFF3_Target_Neg.mzXML,1
1,5.93,38251,209.08553,AFFF3_Target_Neg.mzXML,1
1,5.95,31127,209.08568,AFFF3_Target_Neg.mzXML,1
1,5.97,26508,209.08506,AFFF3_Target_Neg.mzXML,1
1,5.99,19541,209.08567,AFFF3_Target_Neg.mzXML,1
1,6,14694,209.08547,AFFF3_Target_Neg.mzXML,1
1,6.02,12551,209.08565,AFFF3_Target_Neg.mzXML,1
1,6.04,10438,209.08515,AFFF3_Target_Neg.mzXML,1
1,6.06,8643,209.08555,AFFF3_Target_Neg.mzXML,1
1,6.08,9508,209.08536,AFFF3_Target_Neg.mzXML,1
1,6.1,6905,209.08487,AFFF3_Target_Neg.mzXML,1
1,6.11,5544,209.08525,AFFF3_Target_Neg.mzXML,1
1,6.13,5363,209.0855,AFFF3_Target_Neg.mzXML,1
1,6.15,4083,209.08482,AFFF3_Target_Neg.mzXML,1
1,6.17,3329,209.08479,AFFF3_Target_Neg.mzXML,1
1,6.18,4482,209.0859,AFFF3_Target_Neg.mzXML,1
4,8.59,709,586.04103,AFFF3_Target_Neg.mzXML,1
4,8.74,516,586.03933,AFFF3_Target_Neg.mzXML,1
4,8.78,1898,586.03891,AFFF3_Target_Neg.mzXML,1
4,8.79,4303,586.03927,AFFF3_Target_Neg.mzXML,1
4,8.8,7452,586.03968,AFFF3_Target_Neg.mzXML,1
4,8.81,15314,586.04042,AFFF3_Target_Neg.mzXML,1
4,8.83,29021,586.03968,AFFF3_Target_Neg.mzXML,1
4,8.84,62785,586.04062,AFFF3_Target_Neg.mzXML,1
4,8.85,110697,586.04014,AFFF3_Target_Neg.mzXML,1
4,8.86,232938,586.0398,AFFF3_Target_Neg.mzXML,1
4,8.87,434325,586.03929,AFFF3_Target_Neg.mzXML,1
4,8.88,876468,586.03976,AFFF3_Target_Neg.mzXML,1
4,8.9,1494412,586.03954,AFFF3_Target_Neg.mzXML,1
4,8.91,2072996,586.03998,AFFF3_Target_Neg.mzXML,1
4,8.92,2582540,586.04019,AFFF3_Target_Neg.mzXML,1
4,8.93,2897007,586.04106,AFFF3_Target_Neg.mzXML,1
4,8.94,3066526,586.04131,AFFF3_Target_Neg.mzXML,1
4,8.96,3207206,586.04098,AFFF3_Target_Neg.mzXML,1
4,8.98,3108757,586.04145,AFFF3_Target_Neg.mzXML,1
4,8.99,2928809,586.04062,AFFF3_Target_Neg.mzXML,1
4,9,2687926,586.04047,AFFF3_Target_Neg.mzXML,1
4,9.01,2275774,586.04015,AFFF3_Target_Neg.mzXML,1
